loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/initial_learning_rate,config/decay_patience,config/decay_rate,config/num_layers,config/units_per_layer,config/activation,config/batch_size,config/epochs,config/h,config/patience,logdir
361109.4328125,1732826616,,False,1,fc5c883f,2024-11-28_21-43-36,1008.5530686378479,1008.5530686378479,31732,MW-PRD-197955,127.0.0.1,1008.5530686378479,1,1e-06,50,0.6085306475036207,6,256,ReLU,16,2000,24,200,fc5c883f
363616.645,1732826731,,False,1,f4748f99,2024-11-28_21-45-31,1055.5154507160187,1055.5154507160187,16500,MW-PRD-197955,127.0.0.1,1055.5154507160187,1,1e-06,100,0.7533189157216635,6,256,ReLU,16,2000,24,200,f4748f99
378389.4521875,1732826825,,False,1,c84d9290,2024-11-28_21-47-05,1090.8005735874176,1090.8005735874176,12344,MW-PRD-197955,127.0.0.1,1090.8005735874176,1,1e-06,50,0.8184215404827684,6,256,ReLU,16,2000,24,200,c84d9290
327364.0840625,1732827338,,False,1,2e8c6c2a,2024-11-28_21-55-38,1561.0784709453583,1561.0784709453583,27228,MW-PRD-197955,127.0.0.1,1561.0784709453583,1,1e-06,50,0.7533456016884292,6,256,ReLU,8,2000,24,200,2e8c6c2a
337842.73140625,1732827422,,False,1,c3be69f6,2024-11-28_21-57-02,1588.5846197605133,1588.5846197605133,42864,MW-PRD-197955,127.0.0.1,1588.5846197605133,1,1e-06,50,0.7509320374896771,6,256,ReLU,8,2000,24,200,c3be69f6
284816.68859375,1732826492,,False,1,eab4f7e0,2024-11-28_21-41-32,620.5607514381409,620.5607514381409,37056,MW-PRD-197955,127.0.0.1,620.5607514381409,1,0.01,50,0.6744705972907983,6,32,ReLU,8,2000,24,200,eab4f7e0
390766.20453125,1732826525,,False,1,92fa5073,2024-11-28_21-42-05,624.2813611030579,624.2813611030579,39400,MW-PRD-197955,127.0.0.1,624.2813611030579,1,0.01,100,0.7487862188275927,4,256,ReLU,8,2000,24,200,92fa5073
407798.8903125,1732826330,,False,1,658e9989,2024-11-28_21-38-50,395.4373548030853,395.4373548030853,33588,MW-PRD-197955,127.0.0.1,395.4373548030853,1,0.01,100,0.8129017339233348,4,256,ReLU,8,2000,24,200,658e9989
385939.07421875,1732826750,,False,1,a947812e,2024-11-28_21-45-50,733.252977848053,733.252977848053,24204,MW-PRD-197955,127.0.0.1,733.252977848053,1,0.01,100,0.748447811238801,4,256,ReLU,8,2000,24,200,a947812e
438535.01953125,1732826278,,False,1,101e906e,2024-11-28_21-37-58,188.07943320274353,188.07943320274353,15868,MW-PRD-197955,127.0.0.1,188.07943320274353,1,0.01,100,0.6803275786752188,4,256,ReLU,8,2000,24,200,101e906e
418148.5078125,1732826498,,False,1,c122f677,2024-11-28_21-41-38,272.4372959136963,272.4372959136963,22568,MW-PRD-197955,127.0.0.1,272.4372959136963,1,0.01,100,0.8070294290454729,4,256,ReLU,8,2000,24,200,c122f677
244222.93359375,1732827525,,False,1,585dc290,2024-11-28_21-58-45,1193.5594387054443,1193.5594387054443,30320,MW-PRD-197955,127.0.0.1,1193.5594387054443,1,0.0001,100,0.648379441755866,4,32,ReLU,8,2000,24,200,585dc290
248994.75578125,1732827575,,False,1,01fa3634,2024-11-28_21-59-35,1195.2836651802063,1195.2836651802063,37020,MW-PRD-197955,127.0.0.1,1195.2836651802063,1,0.0001,100,0.6405741382774188,4,32,ReLU,8,2000,24,200,01fa3634
233148.587734375,1732827293,,False,1,a4eb2ca6,2024-11-28_21-54-53,757.9968791007996,757.9968791007996,12424,MW-PRD-197955,127.0.0.1,757.9968791007996,1,0.0001,100,0.6435909962021927,4,256,ReLU,8,2000,24,200,a4eb2ca6
225766.175859375,1732827472,,False,1,2a3c5d74,2024-11-28_21-57-52,895.1294224262238,895.1294224262238,14316,MW-PRD-197955,127.0.0.1,895.1294224262238,1,0.0001,100,0.6452799411342054,3,256,ReLU,8,2000,24,200,2a3c5d74
226508.837421875,1732827443,,False,1,856f93f0,2024-11-28_21-57-23,822.6464853286743,822.6464853286743,20580,MW-PRD-197955,127.0.0.1,822.6464853286743,1,0.0001,100,0.640804493258406,3,256,ReLU,8,2000,24,200,856f93f0
235576.188984375,1732827916,,False,1,52db9676,2024-11-28_22-05-16,1250.7409722805023,1250.7409722805023,36744,MW-PRD-197955,127.0.0.1,1250.7409722805023,1,0.0001,100,0.782209599246092,4,64,ReLU,8,2000,24,200,52db9676
233896.954296875,1732827957,,False,1,c05eb31c,2024-11-28_22-05-57,1244.425696849823,1244.425696849823,7008,MW-PRD-197955,127.0.0.1,1244.425696849823,1,0.0001,100,0.7797428761324872,4,64,ReLU,8,2000,24,200,c05eb31c
239977.383515625,1732827951,,False,1,1a56e5b7,2024-11-28_22-05-51,1176.9357986450195,1176.9357986450195,41936,MW-PRD-197955,127.0.0.1,1176.9357986450195,1,0.0001,100,0.7790341783272682,4,64,ReLU,8,2000,24,200,1a56e5b7
