pred,kWh,p,q,P,Q
4911907.8241989985,5081150.291,0,0,0,0
4697011.339677744,4862024.586375,0,0,0,0
4546927.143559679,4643104.6123750005,0,0,0,0
4349095.992059685,4400429.887875,0,0,0,0
4123322.354684688,4193976.8175,0,0,0,0
4177592.0469346717,4255116.5907499995,0,0,0,0
4344281.466684677,4447707.7655,0,0,0,0
4530452.971060954,4656275.0505,0,0,0,0
4797172.856670387,4975028.8651250005,0,0,0,0
4987840.256041266,5195830.66225,0,0,0,0
5040805.750860907,5333116.23475,0,0,0,0
5135114.465387471,5352051.309375,0,0,0,0
5120185.46686662,5225632.585375,0,0,0,0
5005355.6163080335,5090428.914125,0,0,0,0
4922786.379232474,4952516.958125,0,0,0,0
4883677.991853446,4867355.288125,0,0,0,0
4953409.19880221,4842019.529875,0,0,0,0
5062104.482749842,4978752.15025,0,0,0,0
5178362.178494245,5156725.2805,0,0,0,0
5135102.745595418,5181208.408125,0,0,0,0
5022699.867924333,5055682.490499999,0,0,0,0
4943910.728039332,5032494.029874999,0,0,0,0
4961170.667716876,5098684.836999999,0,0,0,0
4734455.786859535,4860945.25375,0,0,0,0
4531332.040433042,4672638.82,0,0,0,0
4409634.230464801,4525891.42875,0,0,0,0
4268008.042954303,4356947.956625,0,0,0,0
4064368.4649294764,4158299.119,0,0,0,0
3865234.4639435634,3971635.684125,0,0,0,0
3787014.883439973,3905643.5631250003,0,0,0,0
3846672.91123122,3928504.459375,0,0,0,0
3991208.2730974853,3999995.3575,0,0,0,0
4247672.638958581,4186828.5117500005,0,0,0,0
4512509.167125739,4373169.43375,0,0,0,0
4639156.544824876,4481764.819999999,0,0,0,0
4790304.34694092,4599156.533375,0,0,0,0
4783195.111307785,4619495.963749999,0,0,0,0
4610084.573282339,4507231.470125,0,0,0,0
4552798.689320758,4420652.534625,0,0,0,0
4574812.55112163,4458533.773125,0,0,0,0
4639950.948017798,4620088.029124999,0,0,0,0
4864181.010780022,4846375.85325,0,0,0,0
5136348.637922183,5112530.135749999,0,0,0,0
5175670.892708465,5193047.658875,0,0,0,0
5175333.596674211,5164776.804874999,0,0,0,0
5153668.857039206,5197100.5665,0,0,0,0
5196789.542531528,5262806.0819999995,0,0,0,0
4903622.665504374,4907281.339625,0,0,0,0
4540391.986407004,4682545.051,0,0,0,0
4411951.285882182,4532423.626875,0,0,0,0
