datetime,pred,kWh,seasonality
2023-07-15 16:00:00,4824334.614254773,5016965.095875,168
2023-07-15 17:00:00,4944088.723984592,5110752.223250001,168
2023-07-15 18:00:00,5092008.435432754,5257338.5655,168
2023-07-15 19:00:00,5076511.206174344,5307888.554125,168
2023-07-15 20:00:00,4962198.654440634,5195769.6835,168
2023-07-15 21:00:00,4909374.54598508,5111028.345875001,168
2023-07-15 22:00:00,4946182.141669489,5108590.864999999,168
2023-07-15 23:00:00,4714612.448030248,4867857.30975,168
2023-07-16 00:00:00,4451227.506536029,4649082.706,168
2023-07-16 01:00:00,4315217.905263692,4496306.178749999,168
2023-07-16 02:00:00,4145123.388240516,4291509.418625,168
2023-07-16 03:00:00,3944611.401348591,4088522.701,168
2023-07-16 04:00:00,3741194.5301101357,3918493.262125,168
2023-07-16 05:00:00,3658464.551520586,3871047.5311249997,168
2023-07-16 06:00:00,3694508.0926586688,3900015.8723750003,168
2023-07-16 07:00:00,3800404.9941545427,3935894.1955,168
2023-07-16 08:00:00,4011765.8870771155,4118881.0947499997,168
2023-07-16 09:00:00,4223859.074972875,4337890.58275,168
2023-07-16 10:00:00,4323249.486701384,4475136.3209999995,168
2023-07-16 11:00:00,4435060.3560044095,4607559.385375001,168
2023-07-16 12:00:00,4435124.807100639,4617429.54175,168
2023-07-16 13:00:00,4263841.138856195,4480606.085124999,168
2023-07-16 14:00:00,4194813.145876877,4370081.017625,168
2023-07-16 15:00:00,4187843.280748844,4314351.748125,168
2023-07-16 16:00:00,4268253.782324947,4378725.695125,168
2023-07-16 17:00:00,4477571.27584216,4642712.505249999,168
2023-07-16 18:00:00,4714051.940768525,4926408.176750001,168
2023-07-16 19:00:00,4759478.824423157,5002264.178875,168
2023-07-16 20:00:00,4721531.43033547,4932098.2088750005,168
2023-07-16 21:00:00,4707222.615720518,4969114.5375,168
2023-07-16 22:00:00,4745637.2678920925,5026703.961999999,168
2023-07-16 23:00:00,4420068.119898692,4740953.067625,168
2023-07-17 00:00:00,4306608.822758436,4509977.483,168
2023-07-17 01:00:00,4168241.187375352,4344101.557875,168
2023-07-17 02:00:00,4108896.074334204,4268221.936125,168
2023-07-17 03:00:00,3973314.520052932,4115621.680625,168
2023-07-17 04:00:00,3902019.951386921,4091970.596,168
2023-07-17 05:00:00,4237857.428977512,4495895.66975,168
2023-07-17 06:00:00,4984522.102113605,5132350.337499999,168
2023-07-17 07:00:00,5732250.506674245,5757966.805375,168
2023-07-17 08:00:00,6124689.83398328,6136977.454875,168
2023-07-17 09:00:00,6149555.623242043,6211328.389625,168
2023-07-17 10:00:00,6245889.666400433,6259694.28975,168
2023-07-17 11:00:00,6409734.333859362,6366849.826249999,168
2023-07-17 12:00:00,6064737.070745915,6056920.087,168
2023-07-17 13:00:00,6072433.591773063,6084691.1655,168
2023-07-17 14:00:00,5943082.702485681,6004455.930125,168
2023-07-17 15:00:00,5840292.311621748,5968570.725125,168
2023-07-17 16:00:00,5789602.034137957,5913331.408124999,168
2023-07-17 17:00:00,5746492.14025826,5883890.1435,168
2023-07-17 18:00:00,5813039.046608992,5977115.752125001,168
2023-07-17 19:00:00,5708066.142852284,5868855.24425,168
2023-07-17 20:00:00,5559676.178746261,5657259.834125,168
2023-07-17 21:00:00,5465009.777475856,5540651.919375,168
2023-07-17 22:00:00,5407642.216522895,5440719.978499999,168
2023-07-17 23:00:00,5010774.718207724,5096746.6606250005,168
2023-07-18 00:00:00,4650760.798264101,4838240.982000001,168
2023-07-18 01:00:00,4492131.006160252,4686061.755875,168
2023-07-18 02:00:00,4326152.396995999,4555571.020125,168
2023-07-18 03:00:00,4150816.901392974,4386487.333625,168
2023-07-18 04:00:00,4025345.006652072,4256010.526,168
2023-07-18 05:00:00,4346255.315164395,4612742.59575,168
2023-07-18 06:00:00,5032237.985931009,5186234.0525,168
2023-07-18 07:00:00,5720289.9959563315,5781241.122375,168
2023-07-18 08:00:00,6063218.569837101,6102700.032875,168
2023-07-18 09:00:00,6117641.014685065,6129193.894625,168
