loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/p,config/q,config/P,config/Q,config/d,config/D,logdir
221392.2447833543,1732937710,,False,1,7a70d03d,2024-11-30_04-35-10,1138.5042850971222,1138.5042850971222,41608,MW-PRD-197955,127.0.0.1,1138.5042850971222,1,8,9,0,1,1,1,7a70d03d
211951.14967444653,1732937375,,False,1,634bc5cf,2024-11-30_04-29-35,778.665515422821,778.665515422821,41748,MW-PRD-197955,127.0.0.1,778.665515422821,1,8,2,0,1,1,1,634bc5cf
221392.2447833543,1732937316,,False,1,19cf1849,2024-11-30_04-28-36,625.4637215137482,625.4637215137482,26856,MW-PRD-197955,127.0.0.1,625.4637215137482,1,8,10,1,0,1,1,19cf1849
221392.2447833543,1732937499,,False,1,ee23dd06,2024-11-30_04-31-39,595.3249523639679,595.3249523639679,42104,MW-PRD-197955,127.0.0.1,595.3249523639679,1,10,10,1,0,1,1,ee23dd06
211511.92189006397,1732938771,,False,1,c37cf3a7,2024-11-30_04-52-51,1667.9590134620667,1667.9590134620667,39736,MW-PRD-197955,127.0.0.1,1667.9590134620667,1,4,21,0,1,1,1,c37cf3a7
207789.21374890895,1732937928,,False,1,2323aa6d,2024-11-30_04-38-48,604.6019289493561,604.6019289493561,38856,MW-PRD-197955,127.0.0.1,604.6019289493561,1,4,1,0,1,1,1,2323aa6d
200615.10708131973,1732938042,,False,1,d20a81b7,2024-11-30_04-40-42,659.1105589866638,659.1105589866638,30452,MW-PRD-197955,127.0.0.1,659.1105589866638,1,6,1,0,1,1,1,d20a81b7
207789.21374890895,1732938112,,False,1,f626ab30,2024-11-30_04-41-52,604.992714881897,604.992714881897,25552,MW-PRD-197955,127.0.0.1,604.992714881897,1,4,1,0,1,1,1,f626ab30
207789.21374890895,1732938322,,False,1,fcc8edff,2024-11-30_04-45-22,604.3838183879852,604.3838183879852,44008,MW-PRD-197955,127.0.0.1,604.3838183879852,1,4,1,0,1,1,1,fcc8edff
211186.9728297695,1732939652,,False,1,3d8e6181,2024-11-30_05-07-32,1715.745815038681,1715.745815038681,42416,MW-PRD-197955,127.0.0.1,1715.745815038681,1,6,19,0,1,1,1,3d8e6181
209877.53588475232,1732939941,,False,1,76f37afe,2024-11-30_05-12-21,1891.6876904964447,1891.6876904964447,44224,MW-PRD-197955,127.0.0.1,1891.6876904964447,1,6,22,0,1,1,1,76f37afe
203998.77472766466,1732938990,,False,1,ba7d035c,2024-11-30_04-56-30,870.790580034256,870.790580034256,42012,MW-PRD-197955,127.0.0.1,870.790580034256,1,6,5,0,1,1,1,ba7d035c
211742.56465058637,1732940078,,False,1,59f46535,2024-11-30_05-14-38,1748.2184965610504,1748.2184965610504,31020,MW-PRD-197955,127.0.0.1,1748.2184965610504,1,6,20,0,1,1,1,59f46535
204752.90732949108,1732939705,,False,1,43c45300,2024-11-30_05-08-25,926.3092420101166,926.3092420101166,36000,MW-PRD-197955,127.0.0.1,926.3092420101166,1,6,7,0,1,1,1,43c45300
200615.10708131973,1732939658,,False,1,117b1ec3,2024-11-30_05-07-38,660.2165582180023,660.2165582180023,43384,MW-PRD-197955,127.0.0.1,660.2165582180023,1,6,1,0,1,1,1,117b1ec3
200615.10708131973,1732940319,,False,1,f62cfdb2,2024-11-30_05-18-39,659.4229786396027,659.4229786396027,664,MW-PRD-197955,127.0.0.1,659.4229786396027,1,6,1,0,1,1,1,f62cfdb2
201931.11395085778,1732940461,,False,1,d308b858,2024-11-30_05-21-01,794.5251519680023,794.5251519680023,29644,MW-PRD-197955,127.0.0.1,794.5251519680023,1,6,3,0,1,1,1,d308b858
212101.55400667223,1732940623,,False,1,157b6d82,2024-11-30_05-23-43,910.5317571163177,910.5317571163177,28180,MW-PRD-197955,127.0.0.1,910.5317571163177,1,10,3,0,1,1,1,157b6d82
211596.95625535914,1732940686,,False,1,140cf77d,2024-11-30_05-24-46,737.7357184886932,737.7357184886932,26152,MW-PRD-197955,127.0.0.1,737.7357184886932,1,9,1,0,1,1,1,140cf77d
202854.8174498286,1732940861,,False,1,b7dc871a,2024-11-30_05-27-41,775.9023480415344,775.9023480415344,20004,MW-PRD-197955,127.0.0.1,775.9023480415344,1,10,1,0,1,1,1,b7dc871a
